was ist los mit dir?;what's the matter with you?
der Ball;Ball
zwingen;force
spielen;play
schwimmen;swim
tanzen;dance
trinken;drink
essen;eat
beten;pray
der Jäger;hunter
die Beute;prey
jagen;hunt
bellen;bark
die Bohne;bean
der Apfel;apple
das Wetter;weather
die Wolke;cloud
der Himmel;sky
die Sonne;sun
die Sonne scheint;the sun is shining
der Sessel;chair
der Tisch;table
der Teppich;carpet
das Bett;bed
das Schlafzimmer;bedroom
das Badezimmer;bathroom
die Kirche;kitchen
rechts;right
links;left
Montag;monday
Dienstag;thuesday
Mittwoch;wendesday
Donnerstag;thursday
Freitag;friday
Samstag;saturday
Sonntag;sunday
Jänner;january
Februar;february
März;march
April;april
Mai;may
Juni;june
Juli;july
August;august
September;september
Oktober;october
November;november
Dezember;december
Frühling;spring
Sommer;summer
Herbst;autumn
Winter;winter
